timestamp,CP_Chiller1_ChilledWaterFlowrate,CP_Chiller1_ChilledWaterReturnTemp,CP_Chiller1_ChilledWaterSupplyTemp,CP_Chiller1_CondenserWaterFlowrate,CP_Chiller1_CondenserWaterReturnTemp,CP_Chiller1_CondenserWaterSupplyTemp,CP_Chiller1_CoolingTons,CP_Chiller1_Efficiency,CP_Chiller1_kW,CP_Chiller2_ChilledWaterFlowrate,CP_Chiller2_ChilledWaterReturnTemp,CP_Chiller2_ChilledWaterSupplyTemp,CP_Chiller2_CondenserWaterFlowrate,CP_Chiller2_CondenserWaterReturnTemp,CP_Chiller2_CondenserWaterSupplyTemp,CP_Chiller2_CoolingTons,CP_Chiller2_Efficiency,CP_Chiller2_kW,CP_Chiller3_ChilledWaterFlowrate,CP_Chiller3_ChilledWaterReturnTemp,CP_Chiller3_ChilledWaterSupplyTemp,CP_Chiller3_CondenserWaterFlowrate,CP_Chiller3_CondenserWaterReturnTemp,CP_Chiller3_CondenserWaterSupplyTemp,CP_Chiller3_CoolingTons,CP_Chiller3_Efficiency,CP_Chiller3_kW,CP_CoolingTower1_CondenserWaterSupplyTemp,CP_CoolingTower2_CondenserWaterSupplyTemp,CP_CoolingTower3_CondenserWaterSupplyTemp,CP_CoolingTower4_CondenserWaterSupplyTemp,CP_CoolingTower5_CondenserWaterSupplyTemp,CP_CoolingTower6_CondenserWaterSupplyTemp,CP_CoolingTower7_CondenserWaterSupplyTemp,CP_CoolingTower8_CondenserWaterSupplyTemp,CP_CoolingTower9_CondenserWaterSupplyTemp,CP_TotalChilledWaterPump_kW,Total_CoolingTons,Total_Chiller_kW,Avg_ChilledWaterSupplyTemp,Avg_ChilledWaterReturnTemp,Avg_CondenserWaterSupplyTemp,Avg_CondenserWaterReturnTemp,System_Efficiency_kW_per_Ton
2011-10-18 12:00:00,0.0,11.75505,13.916999999999998,0.0,27.21759995,26.656950000000002,0.0,0.0,0.0,658.0001005,16.46130035,7.150099974999999,0.0,27.21759995,26.656950000000002,531.686444,0.512850005,236.1125,443.12619750000005,16.408549999999998,6.93375001,1010.21756,33.312350300000006,28.4560002,315.08700600000003,0.5423000035000001,170.58499999999998,28.4300499,28.4502499,28.4218998,28.43069995,28.4336501,28.42770005,28.425100000000004,28.4346499,28.42515015,8.417999935000001,846.7734500000001,406.6975,9.333616661666666,14.874966783333333,27.2566334,29.249183400000003,0.4802908026934476
2011-10-18 13:00:00,0.0,11.9818,13.980350000000001,0.0,27.161199850000003,26.60905035,0.0,0.0,0.0,656.2682004999999,16.47099995,7.09999995,0.0,27.161199850000003,26.60905035,531.9099005,0.509949997,235.47199999999998,442.027449,16.4136999,7.02885,995.8047475,33.2315,28.365050000000004,311.11474899999996,0.542599999,168.74949999999998,28.3533502,28.341150149999997,28.3513501,28.3488501,28.3314498,28.34509995,28.329249600000004,28.346099900000002,28.318000050000002,8.40449991,843.0246495,404.2215,9.369733316666668,14.955499949999998,27.19438356666667,29.184633233333333,0.47948953834237795
2011-10-18 14:00:00,150.819098,13.220399950000001,13.29869999,321.507995,27.991649849999998,26.83240015,67.54759820000001,0.1823500005,39.601,566.3290525,16.188499999999998,8.547350045,346.425095,27.991649849999998,26.83240015,423.4766515,0.43909999749999995,187.1515,411.82024950000005,16.1561001,7.277700075,910.8226044999999,32.49975,27.878800050000002,274.03889805,0.5912000070000001,151.82150055,27.865799700000004,27.8662503,27.86210005,27.857600050000002,27.87369985,27.862299999999998,27.8681501,27.89399985,27.86824995,8.836999975000001,765.0631477500001,378.57400055,9.707916703333332,15.188333349999999,27.18120011666667,29.4943499,0.4948271285362012
2011-10-18 15:00:00,662.4295985000001,16.16504995,8.193049955,1404.54335,32.61455025,28.3428999,417.5442005,0.4600000005,214.257,32.922049,16.28955015,15.722,1404.54335,32.61455025,28.344399950000003,1.8235000500000003,0.1,3.66899985,487.109252,15.95995005,7.1703000349999995,1024.533453,33.2259999,28.357400000000002,321.4882,0.5412499925,173.674,28.38910015,28.37929995,28.39065015,28.370299799999998,28.371299900000004,28.37320005,28.37929975,28.3393501,28.34925025,8.717500025,740.85590055,391.59999985,10.36178333,16.13818338333333,28.348233283333332,32.8183668,0.5285778240536145
2011-10-18 16:00:00,0.0,16.49674995,16.10500005,0.0,28.61419975,28.368850300000002,0.0,0.0,0.0,689.8874515,16.15134985,7.780249995,0.0,28.61419975,28.368850300000002,509.6157015,0.5357999985,226.85399999999998,471.9314025,16.13830005,9.694549995,921.2199969999999,32.369899600000004,28.595500199999996,245.9378003,0.6822499934999999,141.6749999,28.5596,28.57119985,28.572249900000003,28.568050149999998,28.5779498,28.584250000000004,28.5812001,28.59905005,28.585700050000003,8.62650009,755.5535018,368.5289999,11.193266679999999,16.26213328333333,28.444400266666666,29.866099700000003,0.48776029628878886
2011-10-18 17:00:00,0.0,16.1931499,15.9171,0.0,28.54085015,28.197050400000002,0.0,0.0,0.0,112.23735104999999,15.1534,13.468650035,0.0,28.54085015,28.197050400000002,72.2326995,0.116050002,35.305,430.2756999,14.310400000000001,8.23259992,823.983399,31.898650049999997,28.08935035,202.17840335,0.6221500019999999,120.7675,28.0271999,27.98989985,27.987000000000002,27.98824985,28.02544985,28.01325005,27.98450035,28.10589995,27.936950200000002,6.880500035,274.41110285,156.0725,12.539449985,15.2189833,28.161150383333336,29.660116783333333,0.5687543192642359
2011-10-18 18:00:00,0.0,14.53025,15.98959985,0.0,28.382500099999998,28.0144498,0.0,0.0,0.0,0.0,14.530750000000001,14.79365,0.0,28.382500099999998,28.0144498,0.0,0.0,0.0,406.4462,13.365,8.69979999,742.88045,30.79555025,27.638599900000003,142.79840045,0.7973,97.8900003,27.4699001,27.4060001,27.38740015,27.366150049999998,27.40894955,27.388199800000002,27.286250250000002,27.47240015,27.19490005,6.4010000300000005,142.79840045,97.8900003,13.161016613333333,14.142000000000001,27.8891665,29.186850149999998,0.6855118824266914
2011-10-18 19:00:00,0.0,13.791649999999999,16.08694995,0.0,28.2533499,27.85974975,0.0,0.0,0.0,0.0,14.16425,14.975,0.0,28.2533499,27.85974975,0.0,0.0,0.0,433.434602,14.177700000000002,9.864749960000001,774.3086095000001,29.59594985,26.714499949999997,147.84594935,0.8214999895,94.5094997,26.628850149999998,26.6053501,26.5961499,26.57810005,26.6230501,26.60360005,26.567450100000002,26.737450000000003,26.48170015,6.617000025,147.84594935,94.5094997,13.642233303333333,14.044533333333334,27.477999816666664,28.700883216666668,0.6392430777813528
2011-10-18 20:00:00,0.0,13.7863,16.18929995,0.0,28.13240005,27.72330025,0.0,0.0,0.0,0.0,14.207249999999998,15.1517,0.0,28.13290005,27.72380025,0.0,0.0,0.0,467.187307,14.0965,9.31385001,816.8728435,30.18515015,26.9385002,177.9759995,0.7927999944999999,109.47950015,26.94904995,26.8865001,26.871549950000002,26.878200049999997,26.89525015,26.879899899999998,26.816000100000004,26.973949850000004,26.7380002,6.890499950000001,177.9759995,109.47950015,13.551616653333332,14.030016666666667,27.4618669,28.81681675,0.6151363130847315
2011-10-18 21:00:00,0.0,13.7577,16.28675015,0.0,28.0201002,27.597949700000004,0.0,0.0,0.0,0.0,14.214400000000001,15.3132,0.0,28.0201002,27.597949700000004,0.0,0.0,0.0,493.9101465,14.0459,9.395699985,844.7785034999999,30.1628998,26.882600000000004,187.1103524,0.8157999979999999,113.48000004999999,26.843449900000003,26.791400149999998,26.7846999,26.78384995,26.8094,26.793350250000003,26.733099950000003,26.8942002,26.66929995,7.082499995000001,187.1103524,113.48000004999999,13.665216711666666,14.006,27.359499800000005,28.734366733333335,0.6064870200629261
